area,region,geo_lookup,industrial_size,rental_industrial_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,latitude,longitude
 Silverton/Silvertondale,Pretoria," Silverton/Silvertondale, Pretoria, South Africa", 250m�,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Silvertondale X1,Pretoria," Silvertondale X1, Pretoria, South Africa", 250m�,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Sunderland Ridge,Pretoria," Sunderland Ridge, Pretoria, South Africa", 250m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8398601,28.1061423
 Waltloo/Despatch,Pretoria," Waltloo/Despatch, Pretoria, South Africa", 250m�,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Boltonia,West Rand," Boltonia, West Rand, South Africa", 250m�,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1047222,27.7463889
 Chamdor,West Rand," Chamdor, West Rand, South Africa", 250m�,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1529302,27.8002271
 Factoria,West Rand," Factoria, West Rand, South Africa", 250m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Honeydew Ext 19/20/21/22,West Rand," Honeydew Ext 19/20/21/22, West Rand, South Africa", 250m�,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Industria North,West Rand," Industria North, West Rand, South Africa", 250m�,40.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Laserpark,West Rand," Laserpark, West Rand, South Africa", 250m�,62.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Lea Glen,West Rand," Lea Glen, West Rand, South Africa", 250m�,49.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Robertville,West Rand," Robertville, West Rand, South Africa", 250m�,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Stormill,West Rand," Stormill, West Rand, South Africa", 250m�,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 West Rand average,West Rand," West Rand average, West Rand, South Africa", 250m�,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,-26.24565,27.55538
 Lafrenz,Windhoek," Lafrenz, Windhoek, South Africa", 250m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 North,Windhoek," North, Windhoek, South Africa", 250m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Prosperita,Windhoek," Prosperita, Windhoek, South Africa", 250m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 South,Windhoek," South, Windhoek, South Africa", 250m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Windhoek average,Windhoek," Windhoek average, Windhoek, South Africa", 250m�,66.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
 Bloemfontein average,Bloemfontein," Bloemfontein average, Bloemfontein, South Africa", 2500m�,33.71,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 East End,Bloemfontein," East End, Bloemfontein, South Africa", 2500m�,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Estoire,Bloemfontein," Estoire, Bloemfontein, South Africa", 2500m�,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Harvey Road,Bloemfontein," Harvey Road, Bloemfontein, South Africa", 2500m�,31.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1254574,26.2240568
 Hilton,Bloemfontein," Hilton, Bloemfontein, South Africa", 2500m�,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1019444,26.2430556
 Old Industrial,Bloemfontein," Old Industrial, Bloemfontein, South Africa", 2500m�,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.12107,26.214
 Quaggafontein,Bloemfontein," Quaggafontein, Bloemfontein, South Africa", 2500m�,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.1304562,26.1436916
 Airport Industria (east of Borchards Quarry),Cape Town," Airport Industria (east of Borchards Quarry), Cape Town, South Africa", 2500m�,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (north of sewerage farm),Cape Town," Airport Industria (north of sewerage farm), Cape Town, South Africa", 2500m�,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Airport Industria (west of Borchards Quarry),Cape Town," Airport Industria (west of Borchards Quarry), Cape Town, South Africa", 2500m�,69.17,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Atlantis,Cape Town," Atlantis, Cape Town, South Africa", 2500m�,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5672222,18.5002778
 Bellville Oakdale,Cape Town," Bellville Oakdale, Cape Town, South Africa", 2500m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8942265,18.6488585
 Bellville South/Sacks Circle,Cape Town," Bellville South/Sacks Circle, Cape Town, South Africa", 2500m�,46.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Stikland/Kaymor,Cape Town," Bellville Stikland/Kaymor, Cape Town, South Africa", 2500m�,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Bellville Triangle,Cape Town," Bellville Triangle, Cape Town, South Africa", 2500m�,50.71,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Blackheath,Cape Town," Blackheath, Cape Town, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9356509,18.4142813
 Brackenfell Industria,Cape Town," Brackenfell Industria, Cape Town, South Africa", 2500m�,53.75,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Brackengate/Icon Business Park,Cape Town," Brackengate/Icon Business Park, Cape Town, South Africa", 2500m�,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Cape Town average,Cape Town," Cape Town average, Cape Town, South Africa", 2500m�,54.06,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Diep River,Cape Town," Diep River, Cape Town, South Africa", 2500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8509769,18.5062574
 Durbanville Industrial Park,Cape Town," Durbanville Industrial Park, Cape Town, South Africa", 2500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Elsies River (excl. Central Park),Cape Town," Elsies River (excl. Central Park), Cape Town, South Africa", 2500m�,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Epping 1 & 2,Cape Town," Epping 1 & 2, Cape Town, South Africa", 2500m�,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9335257,18.5330355
 Everite Brackenfell,Cape Town," Everite Brackenfell, Cape Town, South Africa", 2500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Killarney Gardens,Cape Town," Killarney Gardens, Cape Town, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8253939,18.5345972
 Kraaifontein,Cape Town," Kraaifontein, Cape Town, South Africa", 2500m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8477778,18.7161111
 Kuils River,Cape Town," Kuils River, Cape Town, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8579607,18.6676275
 Lansdowne Nerissa,Cape Town," Lansdowne Nerissa, Cape Town, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Maitland,Cape Town," Maitland, Cape Town, South Africa", 2500m�,50.71,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9225,18.4930556
 Marconi Beam,Cape Town," Marconi Beam, Cape Town, South Africa", 2500m�,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8723068,18.5156689
 Montague Gardens,Cape Town," Montague Gardens, Cape Town, South Africa", 2500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8597498,18.5229164
 Ndabeni,Cape Town," Ndabeni, Cape Town, South Africa", 2500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.928485,18.4916241
 Northgate Industrial Park,Cape Town," Northgate Industrial Park, Cape Town, South Africa", 2500m�,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Okavango,Cape Town," Okavango, Cape Town, South Africa", 2500m�,56.67,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7992446,18.6881485
 Ottery Hillstar,Cape Town," Ottery Hillstar, Cape Town, South Africa", 2500m�,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,-34.007327,18.4997451
 Ottery Sunset,Cape Town," Ottery Sunset, Cape Town, South Africa", 2500m�,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Paarden Eiland/Metro,Cape Town," Paarden Eiland/Metro, Cape Town, South Africa", 2500m�,63.29,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Paarl,Cape Town," Paarl, Cape Town, South Africa", 2500m�,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9227154,18.5233059
 Parow Beaconvale,Cape Town," Parow Beaconvale, Cape Town, South Africa", 2500m�,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9096806,18.5862094
 Parow East,Cape Town," Parow East, Cape Town, South Africa", 2500m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9056485,18.6006619
 Parow Industria,Cape Town," Parow Industria, Cape Town, South Africa", 2500m�,52.14,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Racing Park,Cape Town," Racing Park, Cape Town, South Africa", 2500m�,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.814152,18.5354943
 Rivergate,Cape Town," Rivergate, Cape Town, South Africa", 2500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7978741,18.5323278
 Saxenburg Industrial Park,Cape Town," Saxenburg Industrial Park, Cape Town, South Africa", 2500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9533589,18.7017911
 Tygerberg Business Park,Cape Town," Tygerberg Business Park, Cape Town, South Africa", 2500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Viking Place,Cape Town," Viking Place, Cape Town, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 Woodstock/Salt River/Observatory,Cape Town," Woodstock/Salt River/Observatory, Cape Town, South Africa", 2500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.92584,18.42322
 WP Park,Cape Town," WP Park, Cape Town, South Africa", 2500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9248155,18.5471006
 Aeroton,Central Witwatersrand ," Aeroton, Central Witwatersrand , South Africa", 2500m�,48.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Amalgam,Central Witwatersrand ," Amalgam, Central Witwatersrand , South Africa", 2500m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Barbeque Downs,Central Witwatersrand ," Barbeque Downs, Central Witwatersrand , South Africa", 2500m�,68.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Benrose,Central Witwatersrand ," Benrose, Central Witwatersrand , South Africa", 2500m�,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Booysens/Booysens Reserve/Ophirton,Central Witwatersrand ," Booysens/Booysens Reserve/Ophirton, Central Witwatersrand , South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Bramley View/Lombardy West,Central Witwatersrand ," Bramley View/Lombardy West, Central Witwatersrand , South Africa", 2500m�,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cambridge Park,Central Witwatersrand ," Cambridge Park, Central Witwatersrand , South Africa", 2500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Central Witwatersrand average,Central Witwatersrand ," Central Witwatersrand average, Central Witwatersrand , South Africa", 2500m�,53.21,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Chloorkop,Central Witwatersrand ," Chloorkop, Central Witwatersrand , South Africa", 2500m�,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 City Deep,Central Witwatersrand ," City Deep, Central Witwatersrand , South Africa", 2500m�,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Clayville/Olifantsfontein,Central Witwatersrand ," Clayville/Olifantsfontein, Central Witwatersrand , South Africa", 2500m�,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cleveland/Heriotdale,Central Witwatersrand ," Cleveland/Heriotdale, Central Witwatersrand , South Africa", 2500m�,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Commercia,Central Witwatersrand ," Commercia, Central Witwatersrand , South Africa", 2500m�,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Corporate Park (Midrand),Central Witwatersrand ," Corporate Park (Midrand), Central Witwatersrand , South Africa", 2500m�,64.36,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Cosmo Business Park,Central Witwatersrand ," Cosmo Business Park, Central Witwatersrand , South Africa", 2500m�,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Crown Mines,Central Witwatersrand ," Crown Mines, Central Witwatersrand , South Africa", 2500m�,36.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Denver (New),Central Witwatersrand ," Denver (New), Central Witwatersrand , South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Denver (Old),Central Witwatersrand ," Denver (Old), Central Witwatersrand , South Africa", 2500m�,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Devland/Nancefield,Central Witwatersrand ," Devland/Nancefield, Central Witwatersrand , South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Industria Central Wits,Central Witwatersrand ," Industria Central Wits, Central Witwatersrand , South Africa", 2500m�,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kew/Wynberg East,Central Witwatersrand ," Kew/Wynberg East, Central Witwatersrand , South Africa", 2500m�,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kramerville/Eastgate Ext 12 & Ext 13,Central Witwatersrand ," Kramerville/Eastgate Ext 12 & Ext 13, Central Witwatersrand , South Africa", 2500m�,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.7236,-3.52751
 Kya Sand East,Central Witwatersrand ," Kya Sand East, Central Witwatersrand , South Africa", 2500m�,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kya Sand West,Central Witwatersrand ," Kya Sand West, Central Witwatersrand , South Africa", 2500m�,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Kyalami Business Park,Central Witwatersrand ," Kyalami Business Park, Central Witwatersrand , South Africa", 2500m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Lanseria Corporate Estate,Central Witwatersrand ," Lanseria Corporate Estate, Central Witwatersrand , South Africa", 2500m�,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Linbro Park,Central Witwatersrand ," Linbro Park, Central Witwatersrand , South Africa", 2500m�,61.91,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Longlake,Central Witwatersrand ," Longlake, Central Witwatersrand , South Africa", 2500m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Lords View,Central Witwatersrand ," Lords View, Central Witwatersrand , South Africa", 2500m�,68.63,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Marlboro South (Alexandra),Central Witwatersrand ," Marlboro South (Alexandra), Central Witwatersrand , South Africa", 2500m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Mostyn Park,Central Witwatersrand ," Mostyn Park, Central Witwatersrand , South Africa", 2500m�,56.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 North Riding/Hoogland,Central Witwatersrand ," North Riding/Hoogland, Central Witwatersrand , South Africa", 2500m�,60.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Reuven,Central Witwatersrand ," Reuven, Central Witwatersrand , South Africa", 2500m�,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Robertsham,Central Witwatersrand ," Robertsham, Central Witwatersrand , South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Samrand Centurion,Central Witwatersrand ," Samrand Centurion, Central Witwatersrand , South Africa", 2500m�,67.57,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Selby (Old)/Selby X2/Park Central,Central Witwatersrand ," Selby (Old)/Selby X2/Park Central, Central Witwatersrand , South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Selby Ext 11,Central Witwatersrand ," Selby Ext 11, Central Witwatersrand , South Africa", 2500m�,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Selby Ext 12/13/15/19/20/24/City West,Central Witwatersrand ," Selby Ext 12/13/15/19/20/24/City West, Central Witwatersrand , South Africa", 2500m�,38.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Selby Ext 3/4/6,Central Witwatersrand ," Selby Ext 3/4/6, Central Witwatersrand , South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Selby Ext 5/10/14/18,Central Witwatersrand ," Selby Ext 5/10/14/18, Central Witwatersrand , South Africa", 2500m�,38.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Steeledale/Electron/Tulisa Park,Central Witwatersrand ," Steeledale/Electron/Tulisa Park, Central Witwatersrand , South Africa", 2500m�,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Strijdom Park,Central Witwatersrand ," Strijdom Park, Central Witwatersrand , South Africa", 2500m�,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Village Main/Village Deep/New Centre,Central Witwatersrand ," Village Main/Village Deep/New Centre, Central Witwatersrand , South Africa", 2500m�,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Waterfall,Central Witwatersrand ," Waterfall, Central Witwatersrand , South Africa", 2500m�,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
" Wesco Park/Eastgate X3, X11, X6, X8/Marlboro North (New)",Central Witwatersrand ," Wesco Park/Eastgate X3, X11, X6, X8/Marlboro North (New), Central Witwatersrand , South Africa", 2500m�,56.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Wynberg proper,Central Witwatersrand ," Wynberg proper, Central Witwatersrand , South Africa", 2500m�,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.25,28.0
 Avoca/Red Hill/Northgate,Durban," Avoca/Red Hill/Northgate, Durban, South Africa", 2500m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Ballito,Durban," Ballito, Durban, South Africa", 2500m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Briardene Industrial Park,Durban," Briardene Industrial Park, Durban, South Africa", 2500m�,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Canelands,Durban," Canelands, Durban, South Africa", 2500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Cato Ridge,Durban," Cato Ridge, Durban, South Africa", 2500m�,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Chris Hani Rd (North Coast)/Briardene,Durban," Chris Hani Rd (North Coast)/Briardene, Durban, South Africa", 2500m�,65.83,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Cornubia,Durban," Cornubia, Durban, South Africa", 2500m�,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Dube Tradeport,Durban," Dube Tradeport, Durban, South Africa", 2500m�,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Durban average,Durban," Durban average, Durban, South Africa", 2500m�,64.46,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Edwin Swales Drive,Durban," Edwin Swales Drive, Durban, South Africa", 2500m�,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8723873,30.9511834
 Falcon Park,Durban," Falcon Park, Durban, South Africa", 2500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9059606,30.9058425
 Felix Dlamini Rd (Brickfield),Durban," Felix Dlamini Rd (Brickfield), Durban, South Africa", 2500m�,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Glen Anil,Durban," Glen Anil, Durban, South Africa", 2500m�,68.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.7516172,31.0397277
 Hammarsdale,Durban," Hammarsdale, Durban, South Africa", 2500m�,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Isipingo,Durban," Isipingo, Durban, South Africa", 2500m�,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Ithala Industrial Estate,Durban," Ithala Industrial Estate, Durban, South Africa", 2500m�,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Jacobs,Durban," Jacobs, Durban, South Africa", 2500m�,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9263889,30.9866667
 Kingsburgh,Durban," Kingsburgh, Durban, South Africa", 2500m�,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mariann Park/Southmead,Durban," Mariann Park/Southmead, Durban, South Africa", 2500m�,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Maxmead,Durban," Maxmead, Durban, South Africa", 2500m�,64.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mayville,Durban," Mayville, Durban, South Africa", 2500m�,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Mobeni,Durban," Mobeni, Durban, South Africa", 2500m�,65.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.9333333,30.9736111
 Mount Edgecombe,Durban," Mount Edgecombe, Durban, South Africa", 2500m�,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 New Germany,Durban," New Germany, Durban, South Africa", 2500m�,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8098859,30.8952367
 New Westmead/Mahogany,Durban," New Westmead/Mahogany, Durban, South Africa", 2500m�,66.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Phoenix,Durban," Phoenix, Durban, South Africa", 2500m�,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Pinetown Central,Durban," Pinetown Central, Durban, South Africa", 2500m�,63.86,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Prospecton,Durban," Prospecton, Durban, South Africa", 2500m�,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Ringroad Industrial Park,Durban," Ringroad Industrial Park, Durban, South Africa", 2500m�,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Riverhorse Valley Business Estate,Durban," Riverhorse Valley Business Estate, Durban, South Africa", 2500m�,80.83,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Rossburgh/South Coast Rd,Durban," Rossburgh/South Coast Rd, Durban, South Africa", 2500m�,60.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Southgate Industrial Park,Durban," Southgate Industrial Park, Durban, South Africa", 2500m�,66.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Springfield Park,Durban," Springfield Park, Durban, South Africa", 2500m�,67.17,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Tongaat,Durban," Tongaat, Durban, South Africa", 2500m�,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbilo/Sydney Rd/Magwaza Maphalala St (Gale),Durban," Umbilo/Sydney Rd/Magwaza Maphalala St (Gale), Durban, South Africa", 2500m�,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbogintwini/Southgate,Durban," Umbogintwini/Southgate, Durban, South Africa", 2500m�,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umgeni Park,Durban," Umgeni Park, Durban, South Africa", 2500m�,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8053559,31.0189902
 Umgeni Rd/Stamford Hill,Durban," Umgeni Rd/Stamford Hill, Durban, South Africa", 2500m�,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8194005,31.0273238
 Verulam,Durban," Verulam, Durban, South Africa", 2500m�,55.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Westmead,Durban," Westmead, Durban, South Africa", 2500m�,65.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Arcadia,East London," Arcadia, East London, South Africa", 2500m�,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.0083333,27.905
 Chiselhurst,East London," Chiselhurst, East London, South Africa", 2500m�,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,-32.9855556,27.8861111
 East London average,East London," East London average, East London, South Africa", 2500m�,37.83,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Gately/Woodbrook,East London," Gately/Woodbrook, East London, South Africa", 2500m�,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Meisies Halt,East London," Meisies Halt, East London, South Africa", 2500m�,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 West Bank Industrial Area,East London," West Bank Industrial Area, East London, South Africa", 2500m�,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Wilsonia,East London," Wilsonia, East London, South Africa", 2500m�,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,-32.9730794,27.8213719
 Aeroport/Spartan Ext 2,East Rand," Aeroport/Spartan Ext 2, East Rand, South Africa", 2500m�,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alberton,East Rand," Alberton, East Rand, South Africa", 2500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alrode & Xs,East Rand," Alrode & Xs, East Rand, South Africa", 2500m�,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,-26.2982628,28.1202109
