area,region,geo_lookup,office_grade,caprate_office_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,latitude,longitude
 Braamfontein,Johannesburg ," Braamfontein, Johannesburg , South Africa", grade C,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1923008,28.0361353
 Bryanston,Johannesburg ," Bryanston, Johannesburg , South Africa", grade C,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0513889,28.0280556
 Johannesburg CBD,Johannesburg ," Johannesburg CBD, Johannesburg , South Africa", grade C,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
 Midrand,Johannesburg ," Midrand, Johannesburg , South Africa", grade C,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.999262,28.125912
 Parktown,Johannesburg ," Parktown, Johannesburg , South Africa", grade C,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.1816667,28.0277778
 Randburg Ferndale,Johannesburg ," Randburg Ferndale, Johannesburg , South Africa", grade C,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0915038,27.9800126
 Rivonia,Johannesburg ," Rivonia, Johannesburg , South Africa", grade C,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0533333,28.0594444
 Rosebank,Johannesburg ," Rosebank, Johannesburg , South Africa", grade C,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.145512,28.0442041
 Sandton CBD,Johannesburg ," Sandton CBD, Johannesburg , South Africa", grade C,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.20227,28.04363
 Sunninghill,Johannesburg ," Sunninghill, Johannesburg , South Africa", grade C,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0352778,28.0758333
 Mbombela ,Mbombela," Mbombela , Mbombela, South Africa", grade C,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.481944,30.984722
 Pietermaritzburg,Pietermaritzburg," Pietermaritzburg, Pietermaritzburg, South Africa", grade C,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.6107467,30.3683735
 Polokwane ,Polokwane," Polokwane , Polokwane, South Africa", grade C,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8297678,29.4983192
 Brooklyn,Pretoria," Brooklyn, Pretoria, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7655556,28.2397222
 Centurion,Pretoria," Centurion, Pretoria, South Africa", grade C,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8349977,28.2109191
 Hatfield,Pretoria," Hatfield, Pretoria, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7476402,28.2378733
 Menlyn/Lynnwood,Pretoria," Menlyn/Lynnwood, Pretoria, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7826563,28.2750672
 Nieuw Muckleneuk,Pretoria," Nieuw Muckleneuk, Pretoria, South Africa", grade C,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.74486,28.18783
 Pretoria CBD,Pretoria," Pretoria CBD, Pretoria, South Africa", grade C,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7492568,28.1920158
 Vaal Triangle,Vaal Triangle," Vaal Triangle, Vaal Triangle, South Africa", grade C,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.74627,27.87404
 Windhoek,Windhoek," Windhoek, Windhoek, South Africa", grade C,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5287,21.68229
